[o1],logic_1,|,256,toks,|,5.9,s,|,$0.02 ,❌
[o1],math_1,|,635,toks,|,3.12,s,|,$0.03 ,❌
[o1],code_1,|,192,toks,|,4.61,s,|,$0.01 ,❌
,,,,,,,,,,
💰,Estimated,total,cost:,$0.06 ,,,,,,
model,correct,avg_latency_s,avg_cost_usd,avg_reason_toks,,,,,,
,o1,0/3,4.543333,0.020475,0,,,,,
,,,,,,,,,,
[o1],logic_1,|,699,toks,|,4.46,s,|,$0.04 ,❌
[o3],logic_1,|,432,toks,|,5.59,s,|,$0.00 ,❌
[o1],math_1,|,635,toks,|,4.14,s,|,$0.03 ,❌
[o3],math_1,|,335,toks,|,3.66,s,|,$0.00 ,❌
[o1],code_1,|,447,toks,|,5.29,s,|,$0.02 ,✅
[o3],code_1,|,426,toks,|,5.85,s,|,$0.00 ,❌
,,,,,,,,,,
💰,Estimated,total,cost:,$0.10 ,,,,,,
model,correct,avg_latency_s,avg_cost_usd,avg_reason_toks,,,,,,
,o1,3-Jan,4.63,0.02974,0,,,,,
,o3,0/3,5.033333,0.002397,0,,,,,
,,,,,,,,,,
[o1],logic_1,|,473,toks,|,2.72,s,|,$0.03 ,❌
[o3],logic_1,|,207,toks,|,8.45,s,|,$0.00 ,❌
[o1],math_1,|,1066,toks,|,5.49,s,|,$0.06 ,❌
[o3],math_1,|,306,toks,|,2.45,s,|,$0.00 ,✅
[o1],code_1,|,448,toks,|,7.03,s,|,$0.03 ,❌
[o3],code_1,|,609,toks,|,7.27,s,|,$0.00 ,❌
,,,,,,,,,,
💰,Estimated,total,cost:,$0.12 ,,,,,,
model,correct,avg_latency_s,avg_cost_usd,avg_reason_toks,,,,,,
,o1,0/3,5.08,0.038195,0,,,,,
,o3,3-Jan,6.056667,0.002592,0,,,,,
,,,,,,,,,,
[o1],logic_1,|,473,toks,|,4.09,s,|,$0.03 ,❌
[o3],logic_1,|,253,toks,|,5.21,s,|,$0.00 ,❌
[o1],math_1,|,1066,toks,|,5.14,s,|,$0.06 ,❌
[o3],math_1,|,498,toks,|,5.19,s,|,$0.00 ,✅
[o1],code_1,|,1121,toks,|,6.04,s,|,$0.06 ,❌
[o3],code_1,|,437,toks,|,4.39,s,|,$0.00 ,✅
,,,,,,,,,,
💰,Estimated,total,cost:,$0.16 ,,,,,,
model,correct,avg_latency_s,avg_cost_usd,avg_reason_toks,,,,,,
,o1,0/3,5.09,0.0502,0,,,,,
,o3,3-Feb,4.93,0.002768,0,,,,,
,,,,,,,,,,
[o1],logic_1,|,485,toks,|,3.78,s,|,$0.03 ,❌
[o3],logic_1,|,146,toks,|,2.01,s,|,$0.00 ,✅
[o1],math_1,|,1066,toks,|,4.94,s,|,$0.06 ,❌
[o3],math_1,|,242,toks,|,3.32,s,|,$0.00 ,✅
[o1],code_1,|,1121,toks,|,6.21,s,|,$0.06 ,❌
[o3],code_1,|,609,toks,|,6.04,s,|,$0.00 ,❌
,,,,,,,,,,
💰,Estimated,total,cost:,$0.16 ,,,,,,
model,correct,avg_latency_s,avg_cost_usd,avg_reason_toks,,,,,,
,o1,0/3,4.976667,0.05026,0,,,,,
,o3,3-Feb,3.79,0.002235,0,,,,,
,,,,,,,,,,
[o1],logic_1,|,485,toks,|,3.63,s,|,$0.03 ,❌
[o3],logic_1,|,265,toks,|,3.63,s,|,$0.00 ,❌
[o1],math_1,|,1066,toks,|,5.53,s,|,$0.06 ,❌
[o3],math_1,|,370,toks,|,4.3,s,|,$0.00 ,✅
[o1],code_1,|,1121,toks,|,4.63,s,|,$0.06 ,❌
[o3],code_1,|,462,toks,|,5.94,s,|,$0.00 ,✅
,,,,,,,,,,
💰,Estimated,total,cost:,$0.16 ,,,,,,
model,correct,avg_latency_s,avg_cost_usd,avg_reason_toks,,,,,,
,o1,0/3,4.596667,0.05026,0,,,,,
,o3,3-Feb,4.623333,0.002501,0,,,,,
,,,,,,,,,,
[o1],logic_1,|,485,toks,|,3.52,s,|,$0.03 ,❌
[o3],logic_1,|,146,toks,|,1.53,s,|,$0.00 ,✅
[o1],math_1,|,1066,toks,|,4.42,s,|,$0.06 ,❌
[o3],math_1,|,554,toks,|,6.05,s,|,$0.00 ,❌
[o1],code_1,|,291,toks,|,3.47,s,|,$0.01 ,✅
[o3],code_1,|,609,toks,|,5.19,s,|,$0.00 ,❌
,,,,,,,,,,
💰,Estimated,total,cost:,$0.11 ,,,,,,
,model,correct,avg_latency_s,avg_cost_usd,avg_reason_toks,,,,,
o1-2024-12-17,3-Jan,3.803333,0.03366,0,,,,,,
o3-2025-04-16,3-Jan,4.256667,0.003067,0,,,,,,
,,,,,,,,,,
[o1],logic_1,|,485,toks,|,2.92,s,|,$0.03 ,❌
[o3],logic_1,|,210,toks,|,3.52,s,|,$0.00 ,✅
[o1],math_1,|,1066,toks,|,9.04,s,|,$0.06 ,❌
[o3],math_1,|,498,toks,|,4.8,s,|,$0.00 ,✅
[o1],code_1,|,1121,toks,|,3.9,s,|,$0.06 ,❌
[o3],code_1,|,609,toks,|,5.61,s,|,$0.00 ,❌
,,,,,,,,,,
💰,Estimated,total,cost:,$0.16 ,,,,,,
,model,correct,avg_latency_s,avg_cost_usd,avg_reason_toks,,,,,
o1-2024-12-17,0/3,5.286667,0.05026,0,,,,,,
o3-2025-04-16,3-Feb,4.643333,0.003088,0,,,,,,
,,,,,,,,,,
[o1],logic_1,|,485,toks,|,2.74,s,|,$0.03 ,❌
[o3],logic_1,|,210,toks,|,3.26,s,|,$0.00 ,✅
[o1],math_1,|,1066,toks,|,9.05,s,|,$0.06 ,❌
[o3],math_1,|,554,toks,|,5.48,s,|,$0.00 ,❌
[o1],code_1,|,483,toks,|,5.38,s,|,$0.02 ,✅
[o3],code_1,|,442,toks,|,4.75,s,|,$0.00 ,✅
,,,,,,,,,,
💰,Estimated,total,cost:,$0.12 ,,,,,,
,model,correct,avg_latency_s,avg_cost_usd,avg_reason_toks,,,,,
o1-2024-12-17,3-Jan,5.723333,0.0375,0,,,,,,
o3-2025-04-16,3-Feb,4.496667,0.002792,0,,,,,,
,,,,,,,,,,
[o1],logic_1,|,201,toks,|,2.2,s,|,$0.01 ,❌
[o3],logic_1,|,137,toks,|,2.15,s,|,$0.00 ,❌
[o1],math_1,|,330,toks,|,1.48,s,|,$0.02 ,❌
[o3],math_1,|,170,toks,|,2.03,s,|,$0.00 ,❌
[o1],code_1,|,673,toks,|,4.93,s,|,$0.04 ,✅
[o3],code_1,|,506,toks,|,4.38,s,|,$0.00 ,✅
,,,,,,,,,,
💰,Estimated,total,cost:,$0.07 ,,,,,,
,model,correct,avg_latency_s,avg_cost_usd,avg_reason_toks,,,,,
o1-2024-12-17,3-Jan,2.87,0.0209,0,,,,,,
o3-2025-04-16,3-Jan,2.853333,0.001744,0,,,,,,
,,,,,,,,,,
[o1],logic_1,|,toks=201,|,t=3.76s,|,cost=$0.00877,❌,,
[o3],logic_1,|,toks=137,|,t=1.8s,|,cost=$0.00066,❌,,
[o1],math_1,|,toks=330,|,t=2.29s,|,cost=$0.01791,❌,,
[o3],math_1,|,toks=170,|,t=1.84s,|,cost=$0.00111,❌,,
[o1],code_1,|,toks=1377,|,t=7.85s,|,cost=$0.07826,❌,,
[o3],code_1,|,toks=378,|,t=3.17s,|,cost=$0.00244,✅,,
,,,,,,,,,,
💰,Estimated,total,cost:,$0.11 ,,,,,,
,model,correct,avg_latency_s,avg_cost_usd,avg_reason_toks,,,,,
o1-2024-12-17,0/3,4.633333,0.03498,0,,,,,,
o3-2025-04-16,3-Jan,2.27,0.001403,0,,,,,,
,,,,,,,,,,
[o1],logic_1,|,toks=201,|,t=1.96s,|,cost=$0.00877,❌,,
[o3],logic_1,|,toks=137,|,t=1.33s,|,cost=$0.00066,❌,,
[o1],math_1,|,toks=330,|,t=2.18s,|,cost=$0.01791,❌,,
[o3],math_1,|,toks=170,|,t=1.84s,|,cost=$0.00111,❌,,
[o1],code_1,|,toks=483,|,t=11.91s,|,cost=$0.02462,✅,,
[o3],code_1,|,toks=629,|,t=5.43s,|,cost=$0.00445,✅,,
,,,,,,,,,,
💰,Estimated,total,cost:,$0.06 ,,,,,,
,model,correct,avg_latency_s,avg_cost_usd,avg_reason_toks,,,,,
o1-2024-12-17,3-Jan,5.35,0.0171,0,,,,,,
o3-2025-04-16,3-Jan,2.866667,0.002072,0,,,,,,